,municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora
3878,BOA ESPERANÇA,310710901A,MG,Centro,-21.09254,-45.56297,2024-12-01 00:10:00.0
7325,CAREAÇU,311360201A,MG,Novo Horizonte,-22.041069,-45.695013,2024-12-01 00:40:00.0
7502,CARMO DE MINAS,311410501A,MG,Centro,-22.1204,-45.13472,2024-12-01 00:00:00.0
13159,GUAXUPÉ,312870901A,MG,Centro,-21.309761,-46.716297,2024-12-01 00:10:00.0
14889,ITAJUBÁ,313240401A,MG,Estiva,-22.412335,-45.435862,2024-12-01 00:00:00.0
15235,ITAMONTE,313300601A,MG,Centro,-22.28407,-44.86765,2024-12-01 00:10:00.0
15624,ITAPEVA,313360001A,MG,Distrito de Areias,-22.706,-46.196,2024-12-01 00:20:00.0
24762,PASSA-VINTE,314780801A,MG,Tebas,-22.2106,-44.23762,2024-12-01 00:20:00.0
24852,PASSOS,314790701A,MG,Exposição,-20.7347,-46.60611,2024-12-01 00:50:00.0
26309,POÇOS DE CALDAS,315180001A,MG,Parque Véu das Noivas,-21.777419,-46.619238,2024-12-01 00:20:00.0
26677,POUSO ALEGRE,315250101A,MG,Aeoroporto,-22.288,-45.92,2024-12-01 00:30:00.0
31755,TRÊS CORAÇÕES,316930702A,MG,Jardim Paraíso,-21.72686,-45.26287,2024-12-01 00:20:00.0
