"","Código","Nome","Latitude","Longitude"
"","530010805A","Nucleo Bandeirante","-15.8768","-47.9627"
"","530010804A","Sobradinho","-15.6237","-47.8469"
"","530010803A","Cidade Estrutural","-15.781966","-47.998073"
"","530010802A","Ceilandia","-15.8184","-48.1533"
"","530010801A","Águas Claras","-15.827","-48.023"
"","522170001A","Centro","-15.5","-49.688"
"","522160101A","Museu Dom Prada","-14.526","-49.14"
"","522060301A","Setor Pedrinhas","-16.667","-48.613"
"","521880502A","Vila Santo Antonio","-17.801","-50.927"
"","521880501A","Céu Azul","-17.755","-50.911"
"","521830001A","Setor Dom Prudencio","-14.093","-46.362"
"","521800301A","Sede da Prefeitura","-13.441","-49.149"
"","521730201A","Bonfim","-15.857","-48.945"
"","521570201A","Jardim das Oliveiras","-16.817","-49.923"
"","521523103A","Vale do Pedregal","-16.092","-48.03"
"","521523102A","Lago azul","-16.094","-48.074"
"","521523101A","Parque Estrela Dalva VI","-16.068","-48.032"
"","521460602A","Belo Horizonte","-14.466","-48.458"
"","521460601A","Avenida Brasil","-14.458","-48.437"
"","521310303A","Prefeitura","-17.570795","-52.551153"
"","521310302A","Coqueiros","-17.537","-52.537"
"","521310301A","Unifimes","-17.551985","-52.55145"
"","521250101A","Centro","-16.256","-47.956"
"","521190901A","Prefeitura","-17.887","-51.725"
"","521180001A","Centro","-15.758","-49.334"
"","521150303A","Rua Divinópolis","-18.405","-49.219"
"","521150302A","Cidade Jardim","-18.423","-49.246"
"","521150301A","Aeroporto Municipal","-18.437","-49.213"
"","520890501A","Centro","-15.928564","-50.145662"
"","520870703A","Vila Jardim Pompeia","-16.6126","-49.2417"
"","520870702A","Jardim Curitiba","-16.6066","-49.336"
"","520870701A","Perim","-16.6467","-49.298"
"","520800403A","Av. Maestro Joaquim de Abreu","-15.536","-47.332"
"","520800402A","Formosinha","-15.548","-47.33"
"","520800401A","Parque da Colina","-15.535","-47.307"
"","520790701A","Santa Maria","-14.451","-47.035"
"","520549701A","Super Quadra 19","-16.097","-47.918"
"","520540601A","Centro","-15.31","-49.603"
"","520510901A","Restaurante Comunitario","-18.1671","-47.9516"
"","520450801A","Prefeitura Municipal","-17.744","-48.627"
"","520310401A","Setor Central","-16.196","-52.546"
"","520140509A","Setor Vale do Sol","-16.793","-49.199"
"","520140508A","Parque Veiga Jardim","-16.799","-49.277"
"","520140507A","Vera Cruz","-16.763","-49.289"
"","520140506A","Residencial Caraibas","-16.806335","-49.35444"
"","520140505A","Jardim Monte Sinai","-16.84","-49.315"
"","520140504A","Residencial Solar Central Park","-16.819","-49.255"
"","520140503A","Predio Adm. Da Prefeitura","-16.738","-49.22"
"","520140502A","Vila Brasília","-16.737","-49.254"
"","520140501A","Tamanduá","-16.759","-49.339"
"","520110801A","Jardim Gonçalves","-16.350452","-48.958235"
"","520030801A","Centro","-16.091","-48.497"
"","520025803A","Prefeitura","-15.754","-48.262"
"","520025802A","Parque Aguas Bonitas","-15.755","-48.325"
"","520025801A","Mansões Centro Oeste","-15.733","-48.275"
"","510860001A","Vila Rica","-10.0182","-51.11016"
"","510780001A","Centro","-15.86396","-56.07458"
"","510777601A","Prefeitura Municipal","-10.4695","-50.50941"
"","510760201A","Colina Verde","-16.48967","-54.6168"
"","510730501A","Arco-Íris","-13.46313","-56.72118"
"","510700801A","Horizonte","-15.82148","-54.40745"
"","510675201A","Jardim Marília","-15.2243","-59.32018"
"","510642201A","Bela Vista","-10.24788","-54.98265"
"","510630701A","ETA","-14.46402","-54.06773"
"","510623201A","Boa Esperança","-14.78521","-57.27809"
"","510621601A","Centro","-10.64537","-55.70692"
"","510370001A","Prefeitura Municipal","-12.38858","-54.93564"
"","510340303A","Prefeitura Municipal","-15.59662","-56.09607"
"","510340302A","Centro de Saúde","-15.64783","-56.04497"
"","510340301A","Jardim Liberdade","-15.61462","-55.99056"
"","510335301A","Parque de Exposições","-10.63265","-51.58387"
"","510330401A","Câmara Municipal","-13.65223","-59.78413"
"","510300701A","Hospital Municipal","-15.46445","-55.73732"
"","510263701A","Polo Industrial","-13.6557","-57.89973"
"","510250401A","Jardim das Oliveiras","-16.09949","-57.70939"
"","510180301A","Centro","-15.89114","-52.25498"
"","510160501A","Centro","-16.19154","-55.96536"
"","510130801A","Jardim Primavera","-14.46452","-56.84153"
"","510020101A","Prefeitura Municipal","-14.05706","-52.16182"
"","500830502A","São Carlos","-20.80873","-51.71331"
"","500830501A","Jardim Dourado","-20.76433","-51.69839"
"","500769501A","SAAE","-19.40076","-54.57602"
"","500750501A","Centro","-19.95344","-54.89065"
"","500740601A","Centro","-18.91787","-54.84469"
"","500660601A","Ferroviária I","-22.51966","-55.73208"
"","500568101A","Centro","-23.93883","-54.29135"
"","500540001A","Jardim Guanabara","-21.63528","-55.1584"
"","500470001A","Centro","-22.3041","-53.835"
"","500460101A","Centro","-23.4842","-54.1859"
"","500370201A","Centro","-22.23083","-54.83056"
"","500348801A","Prefeitura Municipal","-20.69134","-55.28645"
"","500330601A","Prefeitura Municipal","-18.50332","-54.76058"
"","500320702A","Cravo Vermelho","-19.0399","-57.6424"
"","500320701A","Fortaleza","-18.99582","-57.64711"
"","500310801A","SAAE","-19.83127","-54.83133"
"","500270403A","Jardim Panamá","-20.4401","-54.6574"
"","500270402A","UPA Aparecida Gonçalves Saraiva","-20.52545","-54.59831"
"","500270401A","Vila Santa Luzia","-20.4786","-54.6169"
"","500210001A","SAAE","-22.1048","-56.5356"
"","500190401A","Jardim São Francisco","-21.7237","-52.4185"
"","500110201A","Centro","-20.4826","-55.7851"
"","432300206A","São Lucas","-30.092","-51.063"
"","432300205A","Vila Augusta","-30.048","-51.084"
"","432300204A","Santa Isabel","-30.078","-51.105"
"","432300203A","Planalto","-30.129","-51.092"
"","432300202A","Sitio São José","-30.095","-51.019"
"","432260804A","Gomes","-29.69514","-51.97012"
"","432260803A","Centro","-29.608","-52.187"
"","432260802A","Centro","-29.6","-52.195"
"","432260801A","Centro Linha Brasil","-29.5371","-52.3016"
"","432250904A","Centro","-28.503","-50.94"
"","432250903A","Vila São João","-28.51772","-50.94647"
"","432250902A","Santana","-28.514","-50.909"
"","432250901A","Centro","-28.478","-50.965"
"","432240003A","Bela Vista","-29.753131","-57.095619"
"","432240002A","Distrito de Uruguaiana","-29.512278","-56.848075"
"","432240001A","Cabo Luiz Quevedo","-29.780456","-57.107014"
"","432183202A","Centro","-29.538","-50.063"
"","432170903A","Centro","-29.515","-50.775"
"","432170902A","Vila dos Pinheiros","-29.516","-50.803"
"","432170901A","Brasil Raft Park","-29.42525","-50.7719"
"","432150101A","Predial","-29.33296","-49.728012"
"","432145101A","Teutônia","-29.4524","-51.8097"
"","432143602A","Centro","-29.581","-50.065"
"","432130301A","Prefeitura Municipal","-29.8005","-51.8649"
"","432080002A","Centro","-28.830164","-52.510442"
"","432040401A","Centro","-28.710219","-51.929817"
"","432026301A","Prefeitura","-29.3399","-52.982"
"","432000805A","Para¡so","-29.833","-51.15"
"","432000803A","Colonial","-29.81","-51.169"
"","432000802A","Rua Santa Luzia","-29.856","-51.097"
"","432000801A","Vargas","-29.823","-51.136"
"","431950501A","Centro","-29.58673","-51.37198"
"","431880403A","Lomba","-31.369142","-51.989183"
"","431880402A","Interior","-31.298817","-52.158103"
"","431870504A","Santa Teresa","-29.79","-51.132"
"","431870503A","Vicentina","-29.773","-51.16"
"","431870502A","Feitoria","-29.748","-51.097"
"","431870501A","Arroio do Manteiga","-29.73","-51.179"
"","431840801A","Centro","-29.959","-51.716"
"","431820001A","Centro","-29.441672","-50.582842"
"","431800202A","Centro","-28.661","-56.005"
"","431800201A","Passo","-28.632","-56.042"
"","431720202A","Centro","-27.86","-54.445"
"","431720201A","Glória","-27.845","-54.479"
"","431690707A","Lorenzi","-29.727","-53.807"
"","431690705A","Patronato","-29.677","-53.8566"
"","431690703A","Presidente João Goulart","-29.681","-53.791"
"","431690702A","Camobi","-29.697","-53.726"
"","431640203A","Serra do Caverá","-30.433369","-55.282094"
"","431640202A","Planalto","-30.242917","-54.942017"
"","431600602A","Fazenda Passos","-29.668913","-50.662014"
"","431575001A","Centro","-29.64072","-50.45962"
"","431540401A","Centro","-27.662","-53.643"
"","431530501A","Vila José Carlos","-30.371764","-56.46519"
"","431490221A","Hipica","-30.159","-51.2"
"","431490220A","Partenon","-30.051","-51.195"
"","431490219A","Prot sio Alves","-30.048","-51.136"
"","431490218A","Agronomia","-30.069","-51.143"
"","431490217A","Serraria","-30.164","-51.228"
"","431490216A","Belm Velho","-30.104","-51.171"
"","431490215A","Navegantes","-30.002","-51.202"
"","431490205A","Cidade Baixa","-30.03932","-51.22765"
"","431490204A","São João","-29.986","-51.157"
"","431490203A","Restinga","-30.151","-51.138"
"","431490202A","Cristal","-30.11142","-51.11248"
"","431490201A","Centro","-30.029","-51.228"
"","431447201A","Centro","-29.3494","-53.33125"
"","431440705A","Sinott","-31.65","-52.36"
"","431440704A","Colonia Z/3","-31.693","-52.16"
"","431440703A","Areal","-31.746","-52.317"
"","431440702A","Centro","-31.77","-52.342"
"","431440701A","Fragata","-31.75227","-52.37773"
"","431420901A","Centro","-31.867047","-52.826981"
"","431410005A","Vila Vera Cruz","-28.245","-52.432"
"","431410004A","Integração","-28.259","-52.454"
"","431410003A","Dona Elisa","-28.248466","-52.413899"
"","431410002A","Parque Farroupilha","-28.245","-52.37"
"","431410001A","Centro","-28.252","-52.395"
"","431405003A","Paraíso","-29.629","-50.815"
"","431405001A","Laranjeiras","-29.634","-50.846"
"","431340904A","Subsecretaria de Obras","-29.678","-51.15528"
"","431340902A","Canudos","-29.704","-51.093"
"","431337501A","Nova Santa Rita","-29.857","-51.276"
"","431320101A","Centro","-29.37557","-51.11443"
"","431310201A","Centro","-29.47","-53.465"
"","431244301A","Garagem Municipal","-29.3726","-49.945"
"","431177501A","Centro","-29.677","-50.205"
"","431140303A","Moinhos D´Agua","-29.452","-52.003"
"","431140302A","Centro","-29.466","-51.963"
"","431140301A","Santo Antonio","-29.487","-51.987"
"","431123901A","Centro","-29.49","-53.013"
"","431100701A","Pindorama","-32.558556","-53.368358"
"","431075101A","Centro","-29.52168","-53.58115"
"","431065203A","Itati","-29.495","-50.102"
"","431065201A","Restaurante Mirador","-29.35487","-50.1719"
"","431060301A","Centro","-29.121572","-56.557725"
"","431050401A","Centro","-27.196","-53.249"
"","431020703A","Centro","-28.38866","-53.91609"
"","431020702A","Mundstock","-28.404","-53.908"
"","431020701A","Industrial","-28.381","-53.933"
"","431010807A","XV de Novembro","-29.587185","-50.80357"
"","431010806A","Invernada","-29.601","-50.821"
"","431010805A","Bom Pastor","-29.569","-50.807"
"","431010804A","Garibaldi","-29.54","-50.781"
"","431010803A","Figueira","-29.555","-50.789"
"","430960501A","Eldorado","-27.649278","-54.318156"
"","430920904A","Morada do Vale I","-29.917","-51.058"
"","430920903A","Secr. Meio Ambiente","-29.945327","-50.953972"
"","430920902A","Morungava","-29.881578","-50.929952"
"","430920901A","Parque Itacolomi","-29.886","-50.998"
"","430830001A","Centro","-28.98485","-52.34445"
"","430800301A","Centro","-29.5809","-53.4467"
"","430780702A","Industrias","-29.4824","-51.9687"
"","430700504A","Centro","-27.635","-52.274"
"","430700503A","Atlantico","-27.641","-52.237"
"","430700502A","Cristo Rei","-27.662","-52.261"
"","430700501A","Paiol Grande","-27.636","-52.311"
"","430693201A","Esquina Gaúcho","-28.372","-54.167"
"","430690801A","Vila Paraiso","-30.55","-52.543"
"","430680902A","Centro","-29.22143","-51.89438"
"","430676704A","Rua Por do Sol","-30.099","-51.661"
"","430676703A","Flor do Conde","-30.046","-51.308"
"","430676702A","Centro","-29.997","-51.309"
"","430676701A","Est. da Arrozeira","-29.986","-51.333"
"","430660102A","São Gregório","-30.976079","-54.669905"
"","430620501A","Secretaria da Agricultura","-29.51322","-51.98482"
"","430510803A","Parque dos Pinheiros","-29.103","-51.08"
"","430510802A","Forqueta","-29.214","-51.282"
"","430510801A","Santa Fé","-29.125","-51.179"
"","430466301A","Centro","-31.7644166","-52.76451"
"","430460605A","Marechal Rondon","-29.924","-51.17"
"","430460604A","São Luis","-29.877","-51.143"
"","430460603A","Estância Velha","-29.92687","-51.1358"
"","430460602A","Mathias Velho","-29.897","-51.199"
"","430460601A","Rio Branco","-29.966","-51.19"
"","430450704A","Glória","-31.46143","-52.6245"
"","430450703A","Tropeira","-31.55013","-52.74328"
"","430450702A","Cochila dos Cunha","-31.403","-52.809"
"","430450701A","Santa Clara","-31.35449","-52.89736"
"","430420002A","Fábrica de Injetados","-29.66286","-52.78729"
"","430390504A","Bairro K","-29.683","-51.047"
"","430390503A","Barrinha","-29.695","-51.042"
"","430390502A","Imigrante","-29.671","-51.088"
"","430390501A","Quatro Colônias","-29.664","-51.035"
"","430350901A","Centro","-30.851","-51.817"
"","430300403A","Vila Jardim Tordesmade Cordilheira","-30.27","-52.8673"
"","430300402A","Capané","-30.256","-52.8021"
"","430300401A","Comunidade Três Vendas","-29.8908","-53.0043"
